epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,22,,,,,,,0.2888889014720917,2.1752731800079346
0,22,,,0.15416666865348816,,2.264434576034546,,,
1,45,,,,,,,0.3333333432674408,2.0523102283477783
1,45,,,0.3013888895511627,,2.103515863418579,,,
2,49,,,,0.3125,,1.9606678485870361,,
2,68,,,,,,,0.3333333432674408,1.9554606676101685
2,68,,,0.3291666805744171,,1.9706734418869019,,,
3,91,,,,,,,0.3444444537162781,1.8827019929885864
3,91,,,0.3513889014720917,,1.8700389862060547,,,
4,99,,,,0.34375,,1.8737664222717285,,
4,114,,,,,,,0.3444444537162781,1.8195135593414307
4,114,,,0.34861111640930176,,1.799966812133789,,,
5,137,,,,,,,0.36666667461395264,1.770457148551941
5,137,,,0.36250001192092896,,1.7371317148208618,,,
6,149,,,,0.375,,1.7680984735488892,,
6,160,,,,,,,0.35555556416511536,1.7344762086868286
6,160,,,0.3861111104488373,,1.6914818286895752,,,
7,183,,,,,,,0.35555556416511536,1.697603464126587
7,183,,,0.4124999940395355,,1.6490495204925537,,,
8,199,,,,0.4375,,1.494493842124939,,
8,206,,,,,,,0.3888888955116272,1.6671174764633179
8,206,,,0.4055555462837219,,1.6068682670593262,,,
9,229,,,,,,,0.3888888955116272,1.6420958042144775
9,229,,,0.4208333194255829,,1.5766462087631226,,,
10,249,,,,0.46875,,1.5128307342529297,,
10,252,,,,,,,0.4000000059604645,1.6141879558563232
10,252,,,0.43611112236976624,,1.5321648120880127,,,
11,275,,,,,,,0.3888888955116272,1.5928188562393188
11,275,,,0.4486111104488373,,1.5295357704162598,,,
12,298,,,,,,,0.4333333373069763,1.5708749294281006
12,298,,,0.45972222089767456,,1.5046671628952026,,,
13,299,,,,0.53125,,1.5492829084396362,,
13,321,,,,,,,0.4333333373069763,1.551343321800232
13,321,,,0.47361111640930176,,1.476112723350525,,,
14,344,,,,,,,0.41111111640930176,1.5352013111114502
14,344,,,0.47777777910232544,,1.4565373659133911,,,
15,349,,,,0.4375,,1.4706387519836426,,
15,367,,,,,,,0.42222222685813904,1.5206942558288574
15,367,,,0.4791666567325592,,1.449556827545166,,,
16,390,,,,,,,0.4000000059604645,1.50546395778656
16,390,,,0.46666666865348816,,1.4332103729248047,,,
17,399,,,,0.21875,,1.6713670492172241,,
17,413,,,,,,,0.4000000059604645,1.4861148595809937
17,413,,,0.48750001192092896,,1.4228980541229248,,,
18,436,,,,,,,0.3888888955116272,1.483455777168274
18,436,,,0.5097222328186035,,1.3963470458984375,,,
19,449,,,,0.53125,,1.3468830585479736,,
19,459,,,,,,,0.42222222685813904,1.4668124914169312
19,459,,,0.49861112236976624,,1.390451192855835,,,
20,482,,,,,,,0.42222222685813904,1.458868384361267
20,482,,,0.512499988079071,,1.3600157499313354,,,
21,499,,,,0.65625,,1.1581981182098389,,
21,505,,,,,,,0.4444444477558136,1.4482274055480957
21,505,,,0.5347222089767456,,1.354828953742981,,,
22,528,,,,,,,0.41111111640930176,1.4416728019714355
22,528,,,0.5375000238418579,,1.3431921005249023,,,
23,549,,,,0.5625,,1.2786922454833984,,
23,551,,,,,,,0.4333333373069763,1.4300440549850464
23,551,,,0.5333333611488342,,1.3445173501968384,,,
24,574,,,,,,,0.4555555582046509,1.4264509677886963
24,574,,,0.5527777671813965,,1.3382530212402344,,,
25,597,,,,,,,0.46666666865348816,1.4191861152648926
25,597,,,0.5277777910232544,,1.3330273628234863,,,
26,599,,,,0.53125,,1.250076174736023,,
26,620,,,,,,,0.4333333373069763,1.4132323265075684
26,620,,,0.5625,,1.3069053888320923,,,
27,643,,,,,,,0.4555555582046509,1.4015828371047974
27,643,,,0.5638889074325562,,1.3165531158447266,,,
28,649,,,,0.375,,1.4510979652404785,,
28,666,,,,,,,0.4444444477558136,1.4018574953079224
28,666,,,0.5513888597488403,,1.3065128326416016,,,
29,689,,,,,,,0.4444444477558136,1.396126627922058
29,689,,,0.5527777671813965,,1.3008958101272583,,,
30,699,,,,0.5625,,1.181114673614502,,
30,712,,,,,,,0.4333333373069763,1.394464135169983
30,712,,,0.5527777671813965,,1.2985612154006958,,,
31,735,,,,,,,0.4444444477558136,1.390920639038086
31,735,,,0.5708333253860474,,1.2910010814666748,,,
32,749,,,,0.5,,1.2301311492919922,,
32,758,,,,,,,0.4444444477558136,1.3842533826828003
32,758,,,0.5611110925674438,,1.3053619861602783,,,
33,781,,,,,,,0.4555555582046509,1.3807427883148193
33,781,,,0.581944465637207,,1.2853357791900635,,,
34,799,,,,0.46875,,1.45845365524292,,
34,804,,,,,,,0.46666666865348816,1.375459909439087
34,804,,,0.5625,,1.2794607877731323,,,
35,827,,,,,,,0.46666666865348816,1.3722894191741943
35,827,,,0.5777778029441833,,1.2571378946304321,,,
36,849,,,,0.625,,1.2739499807357788,,
36,850,,,,,,,0.46666666865348816,1.3663601875305176
36,850,,,0.5763888955116272,,1.2544312477111816,,,
37,873,,,,,,,0.46666666865348816,1.360067367553711
37,873,,,0.5763888955116272,,1.2624472379684448,,,
38,896,,,,,,,0.47777777910232544,1.3580775260925293
38,896,,,0.5541666746139526,,1.243487000465393,,,
39,899,,,,0.59375,,1.2695749998092651,,
39,919,,,,,,,0.47777777910232544,1.3554894924163818
39,919,,,0.5597222447395325,,1.2517426013946533,,,
40,942,,,,,,,0.46666666865348816,1.3526142835617065
40,942,,,0.5569444298744202,,1.256397008895874,,,
41,949,,,,0.625,,1.2362871170043945,,
41,965,,,,,,,0.4555555582046509,1.3459309339523315
41,965,,,0.5791666507720947,,1.2401869297027588,,,
42,988,,,,,,,0.47777777910232544,1.3484272956848145
