epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,22,,,,,,,0.2666666805744171,2.1783998012542725
0,22,,,0.16944444179534912,,2.2832562923431396,,,
1,45,,,,,,,0.2777777910232544,2.0514326095581055
1,45,,,0.2847222089767456,,2.1007518768310547,,,
2,49,,,,0.40625,,1.9699372053146362,,
2,68,,,,,,,0.31111112236976624,1.954680323600769
2,68,,,0.2958333194255829,,1.9817407131195068,,,
3,91,,,,,,,0.3333333432674408,1.8655178546905518
3,91,,,0.3472222089767456,,1.874550223350525,,,
4,99,,,,0.34375,,1.8245024681091309,,
4,114,,,,,,,0.3333333432674408,1.803195834159851
4,114,,,0.35555556416511536,,1.796390414237976,,,
5,137,,,,,,,0.35555556416511536,1.7552964687347412
5,137,,,0.3583333194255829,,1.739707112312317,,,
6,149,,,,0.28125,,1.677294373512268,,
6,160,,,,,,,0.35555556416511536,1.7140170335769653
6,160,,,0.35972222685813904,,1.6897279024124146,,,
7,183,,,,,,,0.35555556416511536,1.6785322427749634
7,183,,,0.38749998807907104,,1.6384143829345703,,,
8,199,,,,0.40625,,1.531202793121338,,
8,206,,,,,,,0.35555556416511536,1.649476408958435
8,206,,,0.40138888359069824,,1.600034236907959,,,
9,229,,,,,,,0.36666667461395264,1.6228084564208984
9,229,,,0.4166666567325592,,1.5764758586883545,,,
10,249,,,,0.4375,,1.3499584197998047,,
10,252,,,,,,,0.3777777850627899,1.5996253490447998
10,252,,,0.4277777671813965,,1.54022216796875,,,
11,275,,,,,,,0.41111111640930176,1.5783032178878784
11,275,,,0.4375,,1.4984079599380493,,,
12,298,,,,,,,0.4555555582046509,1.5598078966140747
12,298,,,0.4486111104488373,,1.4938246011734009,,,
13,299,,,,0.34375,,1.629576325416565,,
13,321,,,,,,,0.4333333373069763,1.5405992269515991
13,321,,,0.44305557012557983,,1.4592318534851074,,,
14,344,,,,,,,0.4333333373069763,1.5247244834899902
14,344,,,0.4555555582046509,,1.4624043703079224,,,
15,349,,,,0.5625,,1.4465711116790771,,
15,367,,,,,,,0.4555555582046509,1.509077787399292
15,367,,,0.48750001192092896,,1.4440431594848633,,,
16,390,,,,,,,0.4333333373069763,1.496555209159851
16,390,,,0.48750001192092896,,1.419909954071045,,,
17,399,,,,0.5,,1.427656650543213,,
17,413,,,,,,,0.4333333373069763,1.482664704322815
17,413,,,0.5111111402511597,,1.4025293588638306,,,
18,436,,,,,,,0.4333333373069763,1.4712778329849243
18,436,,,0.5013889074325562,,1.381291389465332,,,
19,449,,,,0.4375,,1.6895183324813843,,
19,459,,,,,,,0.46666666865348816,1.4623035192489624
19,459,,,0.5208333134651184,,1.3838094472885132,,,
20,482,,,,,,,0.47777777910232544,1.442375898361206
20,482,,,0.5236111283302307,,1.3670397996902466,,,
