epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,22,,,,,,,0.3055555522441864,2.083256959915161
0,22,,,0.18333333730697632,,2.2337162494659424,,,
1,45,,,,,,,0.3333333432674408,1.940896987915039
1,45,,,0.3125,,2.066915273666382,,,
2,49,,,,0.34375,,2.016963005065918,,
2,68,,,,,,,0.3333333432674408,1.8418748378753662
2,68,,,0.3097222149372101,,1.9688994884490967,,,
3,91,,,,,,,0.3333333432674408,1.75897216796875
3,91,,,0.3222222328186035,,1.8757507801055908,,,
4,99,,,,0.4375,,1.7448400259017944,,
4,114,,,,,,,0.3611111044883728,1.7020535469055176
4,114,,,0.3402777910232544,,1.7920154333114624,,,
5,137,,,,,,,0.4722222089767456,1.6556072235107422
5,137,,,0.35972222685813904,,1.740049123764038,,,
6,149,,,,0.28125,,1.8347020149230957,,
6,160,,,,,,,0.4722222089767456,1.6186134815216064
6,160,,,0.34861111640930176,,1.7055633068084717,,,
7,183,,,,,,,0.5,1.5900825262069702
7,183,,,0.3777777850627899,,1.665792465209961,,,
8,199,,,,0.46875,,1.5330147743225098,,
8,206,,,,,,,0.5277777910232544,1.5612311363220215
8,206,,,0.38749998807907104,,1.6340718269348145,,,
9,229,,,,,,,0.5277777910232544,1.5341078042984009
9,229,,,0.3986110985279083,,1.599750280380249,,,
10,249,,,,0.34375,,1.6309539079666138,,
10,252,,,,,,,0.5277777910232544,1.515368938446045
10,252,,,0.40416666865348816,,1.5717302560806274,,,
11,275,,,,,,,0.5555555820465088,1.4957696199417114
11,275,,,0.4236111044883728,,1.549925446510315,,,
12,298,,,,,,,0.5555555820465088,1.4732774496078491
12,298,,,0.42916667461395264,,1.5288640260696411,,,
13,299,,,,0.34375,,1.5831094980239868,,
13,321,,,,,,,0.5833333134651184,1.4608033895492554
13,321,,,0.4402777850627899,,1.5082346200942993,,,
14,344,,,,,,,0.6111111044883728,1.442452311515808
14,344,,,0.45972222089767456,,1.465941309928894,,,
15,349,,,,0.21875,,1.72064208984375,,
15,367,,,,,,,0.6111111044883728,1.4300744533538818
15,367,,,0.4611110985279083,,1.45200777053833,,,
16,390,,,,,,,0.5833333134651184,1.4125349521636963
16,390,,,0.4763889014720917,,1.4529281854629517,,,
17,399,,,,0.4375,,1.4253753423690796,,
17,413,,,,,,,0.6666666865348816,1.397430658340454
17,413,,,0.47777777910232544,,1.4380435943603516,,,
18,436,,,,,,,0.6111111044883728,1.3876692056655884
18,436,,,0.4749999940395355,,1.4021086692810059,,,
19,449,,,,0.46875,,1.311664342880249,,
19,459,,,,,,,0.6111111044883728,1.3772368431091309
19,459,,,0.5055555701255798,,1.404279351234436,,,
20,482,,,,,,,0.6388888955116272,1.366808295249939
20,482,,,0.519444465637207,,1.3886685371398926,,,
21,499,,,,0.4375,,1.5601327419281006,,
21,505,,,,,,,0.6388888955116272,1.3566887378692627
21,505,,,0.5180555582046509,,1.3740731477737427,,,
22,528,,,,,,,0.6111111044883728,1.3457707166671753
22,528,,,0.5180555582046509,,1.3587976694107056,,,
23,549,,,,0.53125,,1.3782901763916016,,
23,551,,,,,,,0.6388888955116272,1.3327322006225586
23,551,,,0.5236111283302307,,1.3621128797531128,,,
24,574,,,,,,,0.6388888955116272,1.3257572650909424
24,574,,,0.5416666865348816,,1.3451699018478394,,,
25,597,,,,,,,0.6666666865348816,1.3185166120529175
25,597,,,0.5458333492279053,,1.340340495109558,,,
26,599,,,,0.4375,,1.479306936264038,,
26,620,,,,,,,0.6111111044883728,1.3170521259307861
