epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,22,,,,,,,0.2888889014720917,2.147409677505493
0,22,,,0.18333333730697632,,2.2238667011260986,,,
1,45,,,,,,,0.3444444537162781,2.0256950855255127
1,45,,,0.29722222685813904,,2.0748977661132812,,,
2,49,,,,0.3125,,2.0142605304718018,,
2,68,,,,,,,0.3333333432674408,1.9339354038238525
2,68,,,0.31805557012557983,,1.9549829959869385,,,
3,91,,,,,,,0.3444444537162781,1.859756588935852
3,91,,,0.3291666805744171,,1.8825377225875854,,,
4,99,,,,0.375,,1.776405692100525,,
4,114,,,,,,,0.35555556416511536,1.8054296970367432
4,114,,,0.3375000059604645,,1.815882682800293,,,
5,137,,,,,,,0.35555556416511536,1.7562263011932373
5,137,,,0.3611111044883728,,1.7526816129684448,,,
6,149,,,,0.4375,,1.5589444637298584,,
6,160,,,,,,,0.35555556416511536,1.7132186889648438
6,160,,,0.3861111104488373,,1.6878153085708618,,,
7,183,,,,,,,0.36666667461395264,1.6807150840759277
7,183,,,0.3791666626930237,,1.6588094234466553,,,
8,199,,,,0.53125,,1.481759786605835,,
8,206,,,,,,,0.3777777850627899,1.6484904289245605
8,206,,,0.4124999940395355,,1.6133450269699097,,,
9,229,,,,,,,0.36666667461395264,1.6194345951080322
9,229,,,0.41527777910232544,,1.5802764892578125,,,
10,249,,,,0.46875,,1.4684594869613647,,
10,252,,,,,,,0.3888888955116272,1.5947113037109375
10,252,,,0.4166666567325592,,1.5524812936782837,,,
11,275,,,,,,,0.4000000059604645,1.5711331367492676
11,275,,,0.44305557012557983,,1.5347861051559448,,,
12,298,,,,,,,0.41111111640930176,1.5504729747772217
12,298,,,0.4513888955116272,,1.5078269243240356,,,
13,299,,,,0.3125,,1.8095194101333618,,
13,321,,,,,,,0.42222222685813904,1.5275448560714722
13,321,,,0.4486111104488373,,1.50421941280365,,,
14,344,,,,,,,0.42222222685813904,1.5134533643722534
14,344,,,0.4611110985279083,,1.4728091955184937,,,
15,349,,,,0.3125,,1.5624016523361206,,
15,367,,,,,,,0.47777777910232544,1.494602918624878
15,367,,,0.47777777910232544,,1.4565879106521606,,,
16,390,,,,,,,0.4555555582046509,1.4800723791122437
16,390,,,0.4958333373069763,,1.4312198162078857,,,
17,399,,,,0.5,,1.3155235052108765,,
17,413,,,,,,,0.47777777910232544,1.4653303623199463
17,413,,,0.5263888835906982,,1.3966953754425049,,,
18,436,,,,,,,0.46666666865348816,1.451346516609192
18,436,,,0.5180555582046509,,1.3962544202804565,,,
19,449,,,,0.5,,1.3287473917007446,,
19,459,,,,,,,0.47777777910232544,1.444021224975586
19,459,,,0.5055555701255798,,1.379571557044983,,,
20,460,0.4444444477558136,1.4867902994155884,,,,,,
