epoch,step,train_accuracy_epoch,train_accuracy_step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,train_precision_epoch,train_precision_step,train_recall_epoch,train_recall_step,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,22,,,,,,,,,,,0.3611111044883728,0.25651153922080994,2.1228466033935547,0.216386079788208,0.3611111044883728
0,22,0.18333333730697632,,0.12933629751205444,,2.2337162494659424,,0.1169678270816803,,0.18333333730697632,,,,,,
1,45,,,,,,,,,,,0.3055555522441864,0.1882931888103485,2.0110578536987305,0.14845678210258484,0.3055555522441864
1,45,0.3125,,0.21321910619735718,,2.066915273666382,,0.19875964522361755,,0.3125,,,,,,
2,49,,0.34375,,0.23877093195915222,,2.016963005065918,,0.2626488208770752,,0.34375,,,,,
2,68,,,,,,,,,,,0.3611111044883728,0.24555815756320953,1.9245257377624512,0.26728397607803345,0.3611111044883728
2,68,0.3097222149372101,,0.19347478449344635,,1.9688994884490967,,0.1868332475423813,,0.3097222149372101,,,,,,
3,91,,,,,,,,,,,0.3611111044883728,0.24135586619377136,1.8506191968917847,0.21450617909431458,0.3611111044883728
3,91,0.3222222328186035,,0.21621549129486084,,1.8757507801055908,,0.21665853261947632,,0.3222222328186035,,,,,,
4,99,,0.4375,,0.33655303716659546,,1.7448400259017944,,0.3841145932674408,,0.4375,,,,,
4,114,,,,,,,,,,,0.3611111044883728,0.23279806971549988,1.7932864427566528,0.18464505672454834,0.3611111044883728
4,114,0.3402777910232544,,0.24378664791584015,,1.7920154333114624,,0.25359222292900085,,0.3402777910232544,,,,,,
5,137,,,,,,,,,,,0.4166666567325592,0.29360270500183105,1.740251064300537,0.24884261190891266,0.4166666567325592
5,137,0.35972222685813904,,0.26408645510673523,,1.740049123764038,,0.26658564805984497,,0.35972222685813904,,,,,,
6,149,,0.28125,,0.19884543120861053,,1.8347020149230957,,0.21210317313671112,,0.28125,,,,,
6,160,,,,,,,,,,,0.4166666567325592,0.3046296536922455,1.6967943906784058,0.293154776096344,0.4166666567325592
6,160,0.34861111640930176,,0.25308603048324585,,1.7055633068084717,,0.25260430574417114,,0.34861111640930176,,,,,,
7,183,,,,,,,,,,,0.4444444477558136,0.33417508006095886,1.6566780805587769,0.2976190447807312,0.4444444477558136
7,183,0.3777777850627899,,0.2930212914943695,,1.665792465209961,,0.3119165003299713,,0.3777777850627899,,,,,,
8,199,,0.46875,,0.3627976179122925,,1.5330147743225098,,0.3033997118473053,,0.46875,,,,,
8,206,,,,,,,,,,,0.4444444477558136,0.34225592017173767,1.6197868585586548,0.30820104479789734,0.4444444477558136
8,206,0.38749998807907104,,0.3066532611846924,,1.6340718269348145,,0.32226213812828064,,0.38749998807907104,,,,,,
9,229,,,,,,,,,,,0.4444444477558136,0.34225592017173767,1.5905346870422363,0.30820104479789734,0.4444444477558136
9,229,0.3986110985279083,,0.3283737897872925,,1.599750280380249,,0.3585475981235504,,0.3986110985279083,,,,,,
10,249,,0.34375,,0.2680288553237915,,1.6309539079666138,,0.23392857611179352,,0.34375,,,,,
10,252,,,,,,,,,,,0.4444444477558136,0.34225592017173767,1.55991792678833,0.30820104479789734,0.4444444477558136
10,252,0.40416666865348816,,0.33853650093078613,,1.5717302560806274,,0.38009074330329895,,0.40416666865348816,,,,,,
11,275,,,,,,,,,,,0.4444444477558136,0.34225592017173767,1.5370516777038574,0.30820104479789734,0.4444444477558136
11,275,0.4236111044883728,,0.36927181482315063,,1.549925446510315,,0.4184136986732483,,0.4236111044883728,,,,,,
12,298,,,,,,,,,,,0.5,0.4117284119129181,1.5097861289978027,0.3838624358177185,0.5
12,298,0.42916667461395264,,0.3703833818435669,,1.5288640260696411,,0.4154820740222931,,0.42916667461395264,,,,,,
13,299,,0.34375,,0.3276289701461792,,1.5831094980239868,,0.36145833134651184,,0.34375,,,,,
13,321,,,,,,,,,,,0.5,0.4196649193763733,1.4895182847976685,0.40238094329833984,0.5
13,321,0.4402777850627899,,0.3899974524974823,,1.5082346200942993,,0.41905656456947327,,0.4402777850627899,,,,,,
