epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,22,,,,,,,0.3611111044883728,2.1228466033935547
0,22,,,0.18333333730697632,,2.2337162494659424,,,
1,45,,,,,,,0.3055555522441864,2.0110578536987305
1,45,,,0.3125,,2.066915273666382,,,
2,49,,,,0.34375,,2.016963005065918,,
2,68,,,,,,,0.3611111044883728,1.9245257377624512
2,68,,,0.3097222149372101,,1.9688994884490967,,,
3,91,,,,,,,0.3611111044883728,1.8506191968917847
3,91,,,0.3222222328186035,,1.8757507801055908,,,
4,99,,,,0.4375,,1.7448400259017944,,
4,114,,,,,,,0.3611111044883728,1.7932864427566528
4,114,,,0.3402777910232544,,1.7920154333114624,,,
5,137,,,,,,,0.4166666567325592,1.740251064300537
5,137,,,0.35972222685813904,,1.740049123764038,,,
6,149,,,,0.28125,,1.8347020149230957,,
6,160,,,,,,,0.4166666567325592,1.6967943906784058
6,160,,,0.34861111640930176,,1.7055633068084717,,,
7,183,,,,,,,0.4444444477558136,1.6566780805587769
7,183,,,0.3777777850627899,,1.665792465209961,,,
8,199,,,,0.46875,,1.5330147743225098,,
8,206,,,,,,,0.4444444477558136,1.6197868585586548
8,206,,,0.38749998807907104,,1.6340718269348145,,,
9,229,,,,,,,0.4444444477558136,1.5905346870422363
9,229,,,0.3986110985279083,,1.599750280380249,,,
10,249,,,,0.34375,,1.6309539079666138,,
10,252,,,,,,,0.4444444477558136,1.55991792678833
10,252,,,0.40416666865348816,,1.5717302560806274,,,
11,275,,,,,,,0.4444444477558136,1.5370516777038574
11,275,,,0.4236111044883728,,1.549925446510315,,,
12,298,,,,,,,0.5,1.5097861289978027
12,298,,,0.42916667461395264,,1.5288640260696411,,,
13,299,,,,0.34375,,1.5831094980239868,,
13,321,,,,,,,0.5,1.4895182847976685
13,321,,,0.4402777850627899,,1.5082346200942993,,,
14,344,,,,,,,0.5,1.4650416374206543
14,344,,,0.45972222089767456,,1.465941309928894,,,
15,349,,,,0.21875,,1.72064208984375,,
15,367,,,,,,,0.4722222089767456,1.4462378025054932
15,367,,,0.4611110985279083,,1.45200777053833,,,
16,390,,,,,,,0.4444444477558136,1.4263513088226318
16,390,,,0.4763889014720917,,1.4529281854629517,,,
17,399,,,,0.4375,,1.4253753423690796,,
17,413,,,,,,,0.5555555820465088,1.4100971221923828
17,413,,,0.47777777910232544,,1.4380435943603516,,,
18,436,,,,,,,0.5277777910232544,1.396401047706604
18,436,,,0.4749999940395355,,1.4021086692810059,,,
19,449,,,,0.46875,,1.311664342880249,,
19,459,,,,,,,0.5277777910232544,1.3887581825256348
19,459,,,0.5055555701255798,,1.404279351234436,,,
20,482,,,,,,,0.5277777910232544,1.3754090070724487
20,482,,,0.519444465637207,,1.3886685371398926,,,
21,499,,,,0.4375,,1.5601327419281006,,
21,505,,,,,,,0.5555555820465088,1.3686670064926147
21,505,,,0.5180555582046509,,1.3740731477737427,,,
22,528,,,,,,,0.5277777910232544,1.3623968362808228
22,528,,,0.5180555582046509,,1.3587976694107056,,,
23,549,,,,0.53125,,1.3782901763916016,,
23,551,,,,,,,0.5,1.355494737625122
23,551,,,0.5236111283302307,,1.3621128797531128,,,
24,574,,,,,,,0.5555555820465088,1.3495287895202637
24,574,,,0.5416666865348816,,1.3451699018478394,,,
25,597,,,,,,,0.5,1.3469407558441162
25,597,,,0.5458333492279053,,1.340340495109558,,,
26,599,,,,0.4375,,1.479306936264038,,
26,620,,,,,,,0.5277777910232544,1.3393075466156006
26,620,,,0.5361111164093018,,1.3417123556137085,,,
27,643,,,,,,,0.5277777910232544,1.335951805114746
27,643,,,0.5416666865348816,,1.3182398080825806,,,
28,649,,,,0.625,,1.1836134195327759,,
28,666,,,,,,,0.5555555820465088,1.3288413286209106
28,666,,,0.5305555462837219,,1.3247535228729248,,,
29,689,,,,,,,0.5555555820465088,1.3265671730041504
29,689,,,0.5305555462837219,,1.3262473344802856,,,
30,699,,,,0.40625,,1.536177396774292,,
30,712,,,,,,,0.5555555820465088,1.3288766145706177
30,712,,,0.5361111164093018,,1.3186477422714233,,,
31,735,,,,,,,0.5555555820465088,1.324233889579773
31,735,,,0.5305555462837219,,1.2943129539489746,,,
32,749,,,,0.3125,,1.6607400178909302,,
32,758,,,,,,,0.5833333134651184,1.3164000511169434
32,758,,,0.5222222208976746,,1.3031271696090698,,,
33,781,,,,,,,0.6111111044883728,1.3101876974105835
33,781,,,0.5583333373069763,,1.2881232500076294,,,
34,799,,,,0.53125,,1.2688944339752197,,
34,804,,,,,,,0.5555555820465088,1.3114968538284302
34,804,,,0.5458333492279053,,1.2861576080322266,,,
35,827,,,,,,,0.5,1.3076682090759277
35,827,,,0.5458333492279053,,1.2892365455627441,,,
36,849,,,,0.5,,1.5429821014404297,,
36,850,,,,,,,0.5833333134651184,1.3115729093551636
36,850,,,0.5527777671813965,,1.2741506099700928,,,
37,873,,,,,,,0.5555555820465088,1.3056855201721191
37,873,,,0.5736111402511597,,1.2681037187576294,,,
38,896,,,,,,,0.5277777910232544,1.3072590827941895
38,896,,,0.5625,,1.264343023300171,,,
39,899,,,,0.53125,,1.2834495306015015,,
39,919,,,,,,,0.5555555820465088,1.2982255220413208
39,919,,,0.5805555582046509,,1.251745581626892,,,
40,942,,,,,,,0.5555555820465088,1.2960280179977417
40,942,,,0.5638889074325562,,1.2678173780441284,,,
41,949,,,,0.5625,,1.3064615726470947,,
41,965,,,,,,,0.5277777910232544,1.2905070781707764
41,965,,,0.5777778029441833,,1.2684931755065918,,,
42,988,,,,,,,0.5555555820465088,1.2906253337860107
42,988,,,0.5638889074325562,,1.246598482131958,,,
43,999,,,,0.53125,,1.2568432092666626,,
43,1011,,,,,,,0.5555555820465088,1.2937575578689575
43,1011,,,0.5708333253860474,,1.2404720783233643,,,
44,1034,,,,,,,0.5555555820465088,1.2897989749908447
44,1034,,,0.5763888955116272,,1.2318676710128784,,,
45,1049,,,,0.5625,,1.3551634550094604,,
45,1057,,,,,,,0.5555555820465088,1.2895913124084473
45,1057,,,0.581944465637207,,1.2417550086975098,,,
46,1080,,,,,,,0.6111111044883728,1.2813706398010254
46,1080,,,0.5736111402511597,,1.232570767402649,,,
47,1099,,,,0.625,,1.2034952640533447,,
47,1103,,,,,,,0.6111111044883728,1.2831850051879883
47,1103,,,0.5680555701255798,,1.2388179302215576,,,
48,1126,,,,,,,0.5833333134651184,1.2792859077453613
48,1126,,,0.5680555701255798,,1.2376952171325684,,,
49,1149,,,,0.5625,,1.4741274118423462,,
49,1149,,,,,,,0.6111111044883728,1.2798199653625488
49,1149,,,0.5805555582046509,,1.2447683811187744,,,
50,1150,0.6180555820465088,1.2031959295272827,,,,,,
