epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,22,,,,,,,0.25555557012557983,2.1679937839508057
0,22,,,0.16805554926395416,,2.2478113174438477,,,
1,45,,,,,,,0.36666667461395264,2.0419747829437256
1,45,,,0.32499998807907104,,2.0893619060516357,,,
2,49,,,,0.40625,,2.058685302734375,,
2,68,,,,,,,0.36666667461395264,1.9318000078201294
2,68,,,0.3611111044883728,,1.9639073610305786,,,
3,91,,,,,,,0.3444444537162781,1.8497236967086792
3,91,,,0.3513889014720917,,1.864207148551941,,,
4,99,,,,0.375,,1.7923684120178223,,
4,114,,,,,,,0.3333333432674408,1.794348955154419
4,114,,,0.3680555522441864,,1.7841238975524902,,,
5,137,,,,,,,0.36666667461395264,1.7425670623779297
5,137,,,0.37638887763023376,,1.7098019123077393,,,
6,149,,,,0.59375,,1.3466166257858276,,
6,160,,,,,,,0.36666667461395264,1.7040168046951294
6,160,,,0.3930555582046509,,1.6542333364486694,,,
7,183,,,,,,,0.36666667461395264,1.6716156005859375
7,183,,,0.40416666865348816,,1.6220628023147583,,,
8,199,,,,0.53125,,1.3783197402954102,,
8,206,,,,,,,0.35555556416511536,1.646438479423523
8,206,,,0.41527777910232544,,1.5884958505630493,,,
9,229,,,,,,,0.3777777850627899,1.6195200681686401
9,229,,,0.4194444417953491,,1.5636025667190552,,,
10,249,,,,0.5,,1.5350841283798218,,
10,252,,,,,,,0.42222222685813904,1.5962992906570435
10,252,,,0.4305555522441864,,1.535555124282837,,,
11,275,,,,,,,0.41111111640930176,1.5762171745300293
11,275,,,0.4583333432674408,,1.51067316532135,,,
12,298,,,,,,,0.42222222685813904,1.5604661703109741
12,298,,,0.4513888955116272,,1.4914129972457886,,,
13,299,,,,0.4375,,1.4867788553237915,,
13,321,,,,,,,0.4444444477558136,1.5363976955413818
13,321,,,0.4791666567325592,,1.4675511121749878,,,
14,344,,,,,,,0.47777777910232544,1.5242854356765747
14,344,,,0.4819444417953491,,1.4506627321243286,,,
15,349,,,,0.5,,1.509813666343689,,
15,367,,,,,,,0.47777777910232544,1.5100635290145874
15,367,,,0.4958333373069763,,1.449547290802002,,,
16,390,,,,,,,0.4888888895511627,1.4979990720748901
16,390,,,0.48472222685813904,,1.423052430152893,,,
17,399,,,,0.65625,,1.1939666271209717,,
17,413,,,,,,,0.47777777910232544,1.4916242361068726
17,413,,,0.5111111402511597,,1.4039064645767212,,,
18,436,,,,,,,0.4888888895511627,1.473976969718933
18,436,,,0.5138888955116272,,1.3879072666168213,,,
19,449,,,,0.4375,,1.480983018875122,,
19,459,,,,,,,0.47777777910232544,1.4622257947921753
19,459,,,0.5083333253860474,,1.384976863861084,,,
20,482,,,,,,,0.46666666865348816,1.455082893371582
20,482,,,0.5236111283302307,,1.3698359727859497,,,
21,499,,,,0.625,,1.204572319984436,,
21,505,,,,,,,0.5,1.4466232061386108
21,505,,,0.5458333492279053,,1.3443143367767334,,,
22,528,,,,,,,0.4555555582046509,1.436312198638916
22,528,,,0.5319444537162781,,1.3453655242919922,,,
23,549,,,,0.5,,1.5612691640853882,,
23,551,,,,,,,0.5,1.4332174062728882
23,551,,,0.5513888597488403,,1.3239541053771973,,,
24,574,,,,,,,0.47777777910232544,1.4253019094467163
24,574,,,0.5472221970558167,,1.3289729356765747,,,
25,597,,,,,,,0.4555555582046509,1.4211349487304688
25,597,,,0.5333333611488342,,1.3334105014801025,,,
26,599,,,,0.59375,,1.157508134841919,,
26,620,,,,,,,0.47777777910232544,1.4117711782455444
26,620,,,0.5555555820465088,,1.3127868175506592,,,
27,643,,,,,,,0.4888888895511627,1.4008933305740356
27,643,,,0.5444444417953491,,1.3058702945709229,,,
28,649,,,,0.53125,,1.3714447021484375,,
28,666,,,,,,,0.47777777910232544,1.4032092094421387
28,666,,,0.5416666865348816,,1.2937872409820557,,,
29,689,,,,,,,0.47777777910232544,1.3982762098312378
29,689,,,0.5611110925674438,,1.2963049411773682,,,
30,699,,,,0.59375,,1.3186924457550049,,
30,712,,,,,,,0.4888888895511627,1.387224793434143
30,712,,,0.5722222328186035,,1.266322374343872,,,
31,735,,,,,,,0.4888888895511627,1.3800041675567627
31,735,,,0.5569444298744202,,1.2894484996795654,,,
32,749,,,,0.4375,,1.4647905826568604,,
32,758,,,,,,,0.4888888895511627,1.3751580715179443
32,758,,,0.5583333373069763,,1.2712253332138062,,,
33,781,,,,,,,0.47777777910232544,1.3754621744155884
33,781,,,0.5694444179534912,,1.260400652885437,,,
34,799,,,,0.53125,,1.296695351600647,,
34,804,,,,,,,0.5222222208976746,1.3699390888214111
34,804,,,0.5583333373069763,,1.263381838798523,,,
35,827,,,,,,,0.5222222208976746,1.365599274635315
35,827,,,0.5625,,1.2502620220184326,,,
36,849,,,,0.78125,,0.9802420139312744,,
36,850,,,,,,,0.5,1.3657176494598389
36,850,,,0.5791666507720947,,1.247338891029358,,,
37,873,,,,,,,0.5222222208976746,1.3649495840072632
37,873,,,0.5708333253860474,,1.2314856052398682,,,
38,896,,,,,,,0.5,1.3604811429977417
38,896,,,0.5763888955116272,,1.249066710472107,,,
39,899,,,,0.71875,,0.877668559551239,,
39,919,,,,,,,0.5222222208976746,1.351548433303833
39,919,,,0.5930555462837219,,1.2119989395141602,,,
40,942,,,,,,,0.5333333611488342,1.3562333583831787
40,942,,,0.5569444298744202,,1.2501498460769653,,,
41,949,,,,0.59375,,1.1333626508712769,,
41,965,,,,,,,0.5,1.3542842864990234
41,965,,,0.574999988079071,,1.2362126111984253,,,
42,988,,,,,,,0.5222222208976746,1.3419067859649658
42,988,,,0.5944444537162781,,1.2184725999832153,,,
43,999,,,,0.59375,,1.137493371963501,,
43,1011,,,,,,,0.5222222208976746,1.3424623012542725
43,1011,,,0.574999988079071,,1.226905107498169,,,
44,1034,,,,,,,0.5222222208976746,1.3436089754104614
44,1034,,,0.5611110925674438,,1.2274487018585205,,,
45,1049,,,,0.53125,,1.2774937152862549,,
45,1057,,,,,,,0.5222222208976746,1.3397690057754517
45,1057,,,0.581944465637207,,1.2182098627090454,,,
46,1080,,,,,,,0.5111111402511597,1.3421027660369873
46,1080,,,0.5847222208976746,,1.2089595794677734,,,
47,1099,,,,0.40625,,1.3274815082550049,,
47,1103,,,,,,,0.5222222208976746,1.3348112106323242
47,1103,,,0.5805555582046509,,1.21779465675354,,,
48,1126,,,,,,,0.5111111402511597,1.3281700611114502
48,1126,,,0.5916666388511658,,1.2012113332748413,,,
49,1149,,,,0.5,,1.4803423881530762,,
49,1149,,,,,,,0.5111111402511597,1.3277125358581543
49,1149,,,0.5777778029441833,,1.214911937713623,,,
50,1150,0.5666666626930237,1.3336594104766846,,,,,,
