epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,22,,,,,,,0.21111111342906952,2.166621685028076
0,22,,,0.16527777910232544,,2.2490170001983643,,,
1,45,,,,,,,0.2888889014720917,2.0492780208587646
1,45,,,0.2874999940395355,,2.0994324684143066,,,
2,49,,,,0.34375,,2.030877113342285,,
2,68,,,,,,,0.3333333432674408,1.9454208612442017
2,68,,,0.3472222089767456,,1.9634406566619873,,,
3,91,,,,,,,0.3333333432674408,1.8636170625686646
3,91,,,0.34861111640930176,,1.8669226169586182,,,
4,99,,,,0.34375,,1.7419850826263428,,
4,114,,,,,,,0.3333333432674408,1.8029557466506958
4,114,,,0.35972222685813904,,1.788707971572876,,,
5,137,,,,,,,0.3333333432674408,1.7462716102600098
5,137,,,0.36666667461395264,,1.7432141304016113,,,
6,149,,,,0.34375,,1.7233439683914185,,
6,160,,,,,,,0.3444444537162781,1.7151882648468018
6,160,,,0.38055557012557983,,1.6850249767303467,,,
7,183,,,,,,,0.35555556416511536,1.6755167245864868
7,183,,,0.4166666567325592,,1.6365911960601807,,,
8,199,,,,0.4375,,1.6513954401016235,,
8,206,,,,,,,0.3777777850627899,1.6398214101791382
8,206,,,0.41805556416511536,,1.595653772354126,,,
9,229,,,,,,,0.4000000059604645,1.6145331859588623
9,229,,,0.41527777910232544,,1.5655865669250488,,,
10,249,,,,0.4375,,1.6243910789489746,,
10,252,,,,,,,0.4000000059604645,1.589261770248413
10,252,,,0.43194442987442017,,1.5376108884811401,,,
11,275,,,,,,,0.42222222685813904,1.566426396369934
11,275,,,0.44999998807907104,,1.5125257968902588,,,
12,298,,,,,,,0.3888888955116272,1.549504280090332
12,298,,,0.44999998807907104,,1.4842994213104248,,,
13,299,,,,0.5,,1.4799799919128418,,
13,321,,,,,,,0.3888888955116272,1.5224026441574097
13,321,,,0.4749999940395355,,1.4848424196243286,,,
14,344,,,,,,,0.41111111640930176,1.5043816566467285
14,344,,,0.49444442987442017,,1.442228078842163,,,
15,349,,,,0.375,,1.5700541734695435,,
15,367,,,,,,,0.42222222685813904,1.4895023107528687
15,367,,,0.4722222089767456,,1.4389628171920776,,,
16,390,,,,,,,0.4555555582046509,1.4789742231369019
16,390,,,0.4930555522441864,,1.4171017408370972,,,
17,399,,,,0.46875,,1.3294798135757446,,
17,413,,,,,,,0.46666666865348816,1.4674350023269653
17,413,,,0.5055555701255798,,1.401822805404663,,,
18,436,,,,,,,0.46666666865348816,1.453413724899292
18,436,,,0.519444465637207,,1.386845350265503,,,
19,449,,,,0.5,,1.4633655548095703,,
19,459,,,,,,,0.4555555582046509,1.4491716623306274
19,459,,,0.5111111402511597,,1.3806980848312378,,,
20,460,0.47777777910232544,1.48624849319458,,,,,,
