epoch,step,train_acc_epoch,train_acc_step,train_accuracy_epoch,train_accuracy_step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,train_precision_epoch,train_precision_step,train_recall_epoch,train_recall_step,val_acc,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,22,,,,,,,,,,,,,0.3611111044883728,0.3611111044883728,0.25651153922080994,2.1228466033935547,0.216386079788208,0.3611111044883728
0,22,0.18333333730697632,,0.18333333730697632,,0.12933629751205444,,2.2337162494659424,,0.1169678270816803,,0.18333333730697632,,,,,,,
1,45,,,,,,,,,,,,,0.3055555522441864,0.3055555522441864,0.1882931888103485,2.0110578536987305,0.14845678210258484,0.3055555522441864
1,45,0.3125,,0.3125,,0.21321910619735718,,2.066915273666382,,0.19875964522361755,,0.3125,,,,,,,
2,49,,0.34375,,0.34375,,0.23877093195915222,,2.016963005065918,,0.2626488208770752,,0.34375,,,,,,
2,68,,,,,,,,,,,,,0.3611111044883728,0.3611111044883728,0.24555815756320953,1.9245257377624512,0.26728397607803345,0.3611111044883728
2,68,0.3097222149372101,,0.3097222149372101,,0.19347478449344635,,1.9688994884490967,,0.1868332475423813,,0.3097222149372101,,,,,,,
3,91,,,,,,,,,,,,,0.3611111044883728,0.3611111044883728,0.24135586619377136,1.8506191968917847,0.21450617909431458,0.3611111044883728
3,91,0.3222222328186035,,0.3222222328186035,,0.21621549129486084,,1.8757507801055908,,0.21665853261947632,,0.3222222328186035,,,,,,,
4,99,,0.4375,,0.4375,,0.33655303716659546,,1.7448400259017944,,0.3841145932674408,,0.4375,,,,,,
4,114,,,,,,,,,,,,,0.3611111044883728,0.3611111044883728,0.23279806971549988,1.7932864427566528,0.18464505672454834,0.3611111044883728
4,114,0.3402777910232544,,0.3402777910232544,,0.24378664791584015,,1.7920154333114624,,0.25359222292900085,,0.3402777910232544,,,,,,,
5,137,,,,,,,,,,,,,0.4166666567325592,0.4166666567325592,0.29360270500183105,1.740251064300537,0.24884261190891266,0.4166666567325592
5,137,0.35972222685813904,,0.35972222685813904,,0.26408645510673523,,1.740049123764038,,0.26658564805984497,,0.35972222685813904,,,,,,,
