epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,4,,,,,,,0.2777777910232544,1.154675006866455
0,4,,,0.19014084339141846,,1.1839027404785156,,,
1,9,,,,,,,0.3888888955116272,1.0814778804779053
1,9,,,0.3309859037399292,,1.1181391477584839,,,
2,14,,,,,,,0.4444444477558136,1.013884425163269
2,14,,,0.5492957830429077,,1.0297898054122925,,,
3,19,,,,,,,0.7777777910232544,0.9501118063926697
3,19,,,0.6338028311729431,,0.9678556323051453,,,
4,24,,,,,,,0.8333333134651184,0.8895294666290283
4,24,,,0.7957746386528015,,0.9011431932449341,,,
5,29,,,,,,,0.8888888955116272,0.8323994874954224
5,29,,,0.8591549396514893,,0.8291258811950684,,,
6,34,,,,,,,0.8888888955116272,0.7782910466194153
6,34,,,0.8873239159584045,,0.7811940312385559,,,
7,39,,,,,,,0.9444444179534912,0.7278299927711487
7,39,,,0.9366196990013123,,0.708608865737915,,,
8,44,,,,,,,0.9444444179534912,0.679241418838501
8,44,,,0.9154929518699646,,0.6608312129974365,,,
9,49,,,,0.9285714030265808,,0.580849826335907,,
9,49,,,,,,,1.0,0.6338651180267334
9,49,,,0.922535240650177,,0.6187235116958618,,,
10,50,0.8333333134651184,0.5483496189117432,,,,,,
